,iso3,country,year,le_f,country_sp,fem_pop,mmr,gpi,femicides_number
0,ARG,Argentina,2008,78.9268,Argentina,20387718.0,53.0,1.82,
1,ATG,Antigua and Barbuda,2008,79.088,Antigua y Barbuda,43883.0,50.0,,
2,BHS,Bahamas,2008,75.9615,Bahamas,186970.0,77.0,,
3,BLZ,Belize,2008,74.0447,Belice,152520.0,59.0,,
4,BOL,Bolivia (Plurinational State of),2008,67.8569,Bolivia,4898788.0,234.0,1.952,
5,BRA,Brazil,2008,76.1337,Brasil,97612571.0,70.0,1.952,
6,BRB,Barbados,2008,77.5759,Barbados,142532.0,39.0,,
7,CHL,Chile,2008,81.2504,Chile,8392523.0,21.0,1.631,
8,COL,Colombia,2008,77.7309,Colombia,22128690.0,84.0,2.659,
9,CRI,Costa Rica,2008,81.0158,Costa Rica,2240104.0,29.0,1.639,33.0
10,CUB,Cuba,2008,79.7977,Cuba,5642613.0,40.0,2.077,
11,DMA,Dominica,2008,76.2139,Dominica,34119.0,,,1.0
12,DOM,Dominican Republic,2008,74.8316,República Dominicana,4700619.0,92.0,1.987,204.0
13,ECU,Ecuador,2008,78.1157,Ecuador,7242204.0,82.0,2.145,
14,GRD,Grenada,2008,77.3415,Granada,55736.0,30.0,,
15,GTM,Guatemala,2008,73.8994,Guatemala,6925630.0,125.0,2.109,
16,GUY,Guyana,2008,69.7995,Guyana,378592.0,192.0,2.045,
17,HND,Honduras,2008,72.4513,Honduras,4003999.0,76.0,2.171,
18,HTI,Haiti,2008,63.6962,Haití,4819071.0,484.0,2.066,
19,JAM,Jamaica,2008,73.6036,Jamaica,1367460.0,79.0,1.974,
20,KNA,Saint Kitts and Nevis,2008,74.7684,Saint Kitts y Nevis,23904.0,,,
21,LCA,Saint Lucia,2008,75.7352,Santa Lucía,84671.0,93.0,,1.0
22,MEX,Mexico,2008,76.9519,México,55985191.0,49.0,2.115,
23,NIC,Nicaragua,2008,73.6744,Nicaragua,2885445.0,116.0,1.866,
24,PAN,Panama,2008,79.4327,Panamá,1741781.0,84.0,1.77,
25,PER,Peru,2008,75.509,Perú,14418159.0,108.0,1.982,
26,PRY,Paraguay,2008,74.316,Paraguay,2801155.0,118.0,1.842,16.0
27,SLV,El Salvador,2008,75.9201,El Salvador,3166854.0,57.0,2.008,
28,SUR,Suriname,2008,72.2712,Suriname,265315.0,169.0,,
29,TTO,Trinidad and Tobago,2008,74.7729,Trinidad y Tobago,704812.0,72.0,2.078,19.0
30,URY,Uruguay,2008,80.6754,Uruguay,1727547.0,19.0,1.656,25.0
31,VCT,Saint Vincent and the Grenadines,2008,78.1167,San Vicente y las Granadinas,53871.0,70.0,,
32,VEN,Venezuela (Bolivarian Republic of),2008,76.9105,Venezuela,13984235.0,116.0,2.263,
33,ARG,Argentina,2009,79.0703,Argentina,20588982.0,56.0,1.886,
34,ATG,Antigua and Barbuda,2009,79.3047,Antigua y Barbuda,44522.0,45.0,,
35,BHS,Bahamas,2009,76.0709,Bahamas,189903.0,78.0,,
36,BLZ,Belize,2009,74.861,Belice,156923.0,57.0,,
37,BOL,Bolivia (Plurinational State of),2009,68.358,Bolivia,4984968.0,222.0,2.002,
38,BRA,Brazil,2009,76.2987,Brasil,98581682.0,69.0,1.958,
39,BRB,Barbados,2009,77.8187,Barbados,143198.0,38.0,,
40,CHL,Chile,2009,81.4808,Chile,8479648.0,21.0,1.653,
41,COL,Colombia,2009,78.0541,Colombia,22387951.0,87.0,2.627,
42,CRI,Costa Rica,2009,81.2356,Costa Rica,2271211.0,29.0,1.643,39.0
43,CUB,Cuba,2009,79.8978,Cuba,5647821.0,40.0,2.065,
44,DMA,Dominica,2009,74.7259,Dominica,34089.0,,,0.0
45,DOM,Dominican Republic,2009,75.2762,República Dominicana,4765395.0,95.0,1.994,199.0
46,ECU,Ecuador,2009,78.3081,Ecuador,7366263.0,80.0,2.166,
47,GRD,Grenada,2009,77.829,Granada,56101.0,30.0,,
48,GTM,Guatemala,2009,74.1273,Guatemala,7058856.0,131.0,2.073,
49,GUY,Guyana,2009,70.0217,Guyana,377375.0,185.0,2.062,
50,HND,Honduras,2009,72.958,Honduras,4090493.0,75.0,2.15,
51,HTI,Haiti,2009,64.1127,Haití,4897538.0,484.0,2.094,
52,JAM,Jamaica,2009,74.1395,Jamaica,1372774.0,79.0,1.969,
53,KNA,Saint Kitts and Nevis,2009,74.9948,Saint Kitts y Nevis,24005.0,,,
54,LCA,Saint Lucia,2009,75.8085,Santa Lucía,85135.0,100.0,,2.0
55,MEX,Mexico,2009,76.9927,México,56685733.0,51.0,2.177,
56,NIC,Nicaragua,2009,74.5447,Nicaragua,2927499.0,113.0,1.841,
57,PAN,Panama,2009,79.6152,Panamá,1774222.0,82.0,1.747,
