anio,mes,lpei,lpi,desagregacion
1992,Ene,124.78,258.22,Rural
1992,Ene,169.99,421.4,Urbano
1992,Feb,125.89,260.32,Rural
1992,Feb,171.71,424.3,Urbano
1992,Mar,127.45,262.63,Rural
1992,Mar,173.37,426.93,Urbano
1992,Abr,129.1,264.76,Rural
1992,Abr,175.39,429.35,Urbano
1992,May,127.91,264.55,Rural
1992,May,174.97,430.01,Urbano
1992,Jun,127.92,265.56,Rural
1992,Jun,175.31,431.7,Urbano
1992,Jul,127.75,266.23,Rural
1992,Jul,175.21,432.69,Urbano
1992,Ago,127.03,266.47,Rural
1992,Ago,174.86,433.65,Urbano
1992,Sep,127.06,268.89,Rural
1992,Sep,175.09,438.18,Urbano
1992,Oct,127.98,271.07,Rural
1992,Oct,175.95,441.09,Urbano
1992,Nov,130.01,274.38,Rural
1992,Nov,177.9,445.11,Urbano
1992,Dic,134.89,280.38,Rural
1992,Dic,182.8,453.26,Urbano
1993,Ene,137.39,284.84,Rural
1993,Ene,186.02,466.07,Urbano
1993,Feb,137.07,285.61,Rural
1993,Feb,186.31,468.05,Urbano
1993,Mar,134.98,284.72,Rural
1993,Mar,184.54,468.05,Urbano
1993,Abr,133.87,284.04,Rural
1993,Abr,183.66,467.5,Urbano
1993,May,135.07,285.64,Rural
1993,May,184.91,469.23,Urbano
1993,Jun,135.72,287.17,Rural
1993,Jun,185.61,471.21,Urbano
1993,Jul,135.47,287.72,Rural
1993,Jul,185.47,471.98,Urbano
1993,Ago,135.46,288.6,Rural
1993,Ago,185.98,473.88,Urbano
1993,Sep,136.63,292,Rural
1993,Sep,187.3,479.24,Urbano
1993,Oct,136.66,293.33,Rural
1993,Oct,187.62,481.65,Urbano
1993,Nov,137.39,295.04,Rural
1993,Nov,188.46,484.24,Urbano
1993,Dic,140.48,298.69,Rural
1993,Dic,191.48,488.59,Urbano
1994,Ene,142.35,301.32,Rural
1994,Ene,193.85,492.62,Urbano
1994,Feb,140.74,301.01,Rural
1994,Feb,192.51,494.5,Urbano
1994,Mar,139.83,301.1,Rural
1994,Mar,191.74,497.31,Urbano
1994,Abr,139.7,301.18,Rural
1994,Abr,191.95,497.7,Urbano
1994,May,139.94,301.75,Rural
1994,May,192.09,498.16,Urbano
1994,Jun,140.49,303.28,Rural
1994,Jun,192.76,500.11,Urbano
1994,Jul,141.62,304.94,Rural
1994,Jul,194.16,502.13,Urbano
1994,Ago,142.12,306.17,Rural
1994,Ago,194.97,504.02,Urbano
1994,Sep,142.57,308.13,Rural
1994,Sep,195.6,507.6,Urbano
1994,Oct,142.63,309.44,Rural
1994,Oct,195.95,510,Urbano
1994,Nov,143.76,311.72,Rural
1994,Nov,197.2,513.01,Urbano
1994,Dic,145.81,314.85,Rural
1994,Dic,199.32,516.55,Urbano
1995,Ene,151.24,324.4,Rural
1995,Ene,206.91,529.77,Urbano
1995,Feb,156.92,338.03,Rural
1995,Feb,215.38,547.99,Urbano
1995,Mar,163.59,361.59,Rural
1995,Mar,224.12,588.38,Urbano
1995,Abr,174.18,390.02,Rural
1995,Abr,237.37,630.33,Urbano
1995,May,182.82,405.66,Rural
1995,May,248,649.22,Urbano
1995,Jun,189.92,419.08,Rural
1995,Jun,256.94,666.55,Urbano
1995,Jul,194.33,427.51,Rural
1995,Jul,262.8,677.75,Urbano
1995,Ago,196.74,434.12,Rural
1995,Ago,266.59,687.33,Urbano
1995,Sep,199.15,442.41,Rural
1995,Sep,270.18,699.75,Urbano
1995,Oct,203.75,451.71,Rural
1995,Oct,275.51,712.07,Urbano
1995,Nov,212.37,465.45,Rural
1995,Nov,285.5,729.62,Urbano
1995,Dic,222.89,482.33,Rural
1995,Dic,299.21,753.33,Urbano
1996,Ene,232.28,500.96,Rural
1996,Ene,312.47,791.49,Urbano
1996,Feb,238.44,512.22,Rural
1996,Feb,320.37,808.55,Urbano
1996,Mar,243.13,522.32,Rural
1996,Mar,326.56,824.16,Urbano
1996,Abr,251.46,536.04,Rural
1996,Abr,337.76,844.87,Urbano
1996,May,258.59,546.97,Rural
1996,May,346.32,862.83,Urbano
1996,Jun,263.39,556.9,Rural
1996,Jun,352.4,880.98,Urbano
1996,Jul,266.75,564.51,Rural
1996,Jul,357.09,893.48,Urbano
1996,Ago,269.31,572.22,Rural
1996,Ago,360.73,905.77,Urbano
1996,Sep,273.93,582.98,Rural
1996,Sep,366.95,921.17,Urbano
1996,Oct,277.63,591.61,Rural
1996,Oct,371.63,938.84,Urbano
1996,Nov,283.23,602.73,Rural
1996,Nov,378.36,955.41,Urbano
1996,Dic,291.76,624.51,Rural
1996,Dic,390.66,986.74,Urbano
1997,Ene,301.61,640.15,Rural
1997,Ene,403.41,1003.53,Urbano
1997,Feb,303.11,647.1,Rural
1997,Feb,406.61,1017.08,Urbano
1997,Mar,303.67,652.19,Rural
1997,Mar,408.04,1028.22,Urbano
1997,Abr,306.65,658.58,Rural
1997,Abr,412.06,1039.69,Urbano
1997,May,308.73,663.6,Rural
1997,May,415.18,1053.33,Urbano
1997,Jun,309.69,668.27,Rural
1997,Jun,417.47,1063.7,Urbano
